file,config_type,n_frames,E_MPA_raw_meV/atom,E_MPA_shift_meV/atom,E_MPA_shift_trim2pct,F_MPA,F_MPA_trim2pct
Hittorf_ActaB1969_isolated_layer.xyz,unknown,1,161.9,6.49,6.49,86.81,86.81
Hittorf_Angew2020_isolated_layer.xyz,unknown,1,162.0,6.39,6.39,88.45,88.45
P_test_set.xyz,2D,309,182.1,73.49,57.20,272.53,273.54
P_test_set.xyz,cryst_dist,241,186.3,32.16,30.32,240.56,235.51
P_test_set.xyz,cryst_dist_hp,337,686.7,594.06,445.26,2292.85,373.61
P_test_set.xyz,liq_12_03_01_liqP4,22,108.4,62.66,62.66,384.34,384.34
P_test_set.xyz,liq_12_03_02_network,41,87.3,107.53,107.53,374.27,374.27
P_test_set.xyz,liq_P4,100,194.9,52.87,50.46,239.50,238.53
P_test_set.xyz,rss_005,247,285.9,197.49,145.33,449.25,438.60
P_test_set.xyz,rss_200,154,191.6,92.74,86.17,246.10,245.17
P_test_set.xyz,rss_3c,100,185.0,49.98,47.53,221.37,222.26
P_test_set.xyz,rss_rnd,50,203.4,140.75,117.93,1556.31,1327.48
phosphorene_ribbon_armchair.xyz,unknown,1,34.1,202.46,202.46,150.69,150.69
phosphorene_ribbon_single_layer.xyz,unknown,1,117.2,51.22,51.22,122.96,122.96
phosphorene_ribbon_zigzag.xyz,unknown,1,71.1,97.36,97.36,304.64,304.64
