file,config_type,n_frames,E_MACE,F_MACE,E_MACE_D3,F_MACE_D3,E_MACE_GNB,F_MACE_GNB,E_MACELES,F_MACELES,E_MACELES_GNB,F_MACELES_GNB,E_GAP20,F_GAP20
Hittorf_ActaB1969_isolated_layer.xyz,unknown,1,18.26,46.93,276.78,60.04,0.64,33.86,84.15,97.84,11.15,61.46,,
Hittorf_Angew2020_isolated_layer.xyz,unknown,1,18.39,45.96,277.75,59.58,0.62,34.93,86.42,100.88,11.46,63.06,,
P_test_set.xyz,2D,309,10.49,45.45,319.16,54.85,4.04,43.99,9.71,52.54,4.50,40.89,13,129
P_test_set.xyz,cryst_dist,241,2.45,27.40,324.09,32.83,1.82,21.45,3.55,34.00,2.10,24.43,15,186
P_test_set.xyz,cryst_dist_hp,337,163.57,4786.91,711.65,4786.47,877.54,2507.71,78.77,404.85,52.39,50.36,,
P_test_set.xyz,liq_12_03_01_liqP4,22,5.53,47.96,189.27,57.15,2.52,34.34,9.10,43.50,3.77,34.04,8,226
P_test_set.xyz,liq_12_03_02_network,41,5.38,243.07,262.10,245.03,3.47,246.22,6.56,233.02,3.60,236.37,11,201
P_test_set.xyz,liq_P4,100,8.03,126.05,291.79,129.91,2.79,124.22,5.28,121.01,4.03,124.71,8,226
P_test_set.xyz,rss_005,247,73.96,3278.80,401.41,3280.57,399.65,1745.04,161.41,930.68,44979.56,248116.50,,
P_test_set.xyz,rss_200,154,31.38,238.02,363.94,239.06,27.41,226.49,30.86,222.99,27.60,211.58,55,382
P_test_set.xyz,rss_3c,100,12.97,139.76,354.10,140.86,12.67,136.57,15.15,143.45,13.86,138.93,58,375
P_test_set.xyz,rss_rnd,50,180.11,869.86,415.69,872.08,77.62,566.90,76.51,570.19,72.47,598.99,116,694
phosphorene_ribbon_armchair.xyz,unknown,1,2.73,95.55,216.51,107.04,4.18,52.54,12.17,71.61,8.38,81.77,,
phosphorene_ribbon_single_layer.xyz,unknown,1,10.30,12.34,261.93,31.32,3.75,10.05,4.13,14.69,2.98,7.68,,
phosphorene_ribbon_zigzag.xyz,unknown,1,8.58,74.00,218.55,96.86,5.75,45.69,11.07,52.15,3.58,40.61,,
